method,seed,representation,collect_noise,deploy_noise,success_rate,avg_reward,avg_len,off_support_state_ratio,sampled_success_rate,train_env_steps
online_opd,3,linear,0.3,0.3,1.0,0.9289466666666666,3.5526666666666666,,,
sft,3,tabular,0.3,0.3,0.7173333333333334,0.3574933333333333,3.8586666666666667,,,
offline_opd,3,tabular,0.3,0.3,0.716,0.3547999999999999,3.86,0.1081174438687392,,
rang_kd,3,tabular,0.3,0.3,0.9153333333333333,0.7562933333333333,3.7186666666666666,,,
online_opd,3,tabular,0.3,0.3,1.0,0.9289466666666666,3.5526666666666666,,,
sft,4,linear,0.0,0.3,0.68,0.2811999999999999,3.94,,,
offline_opd,4,linear,0.0,0.3,0.68,0.2811999999999999,3.94,0.32588832487309644,,
rang_kd,4,linear,0.0,0.3,0.68,0.2811999999999999,3.94,,,
online_opd,4,linear,0.0,0.3,1.0,0.92724,3.638,,,
sft,4,tabular,0.0,0.3,0.6773333333333333,0.27533333333333326,3.966666666666667,,,
offline_opd,4,tabular,0.0,0.3,0.6773333333333333,0.27533333333333326,3.966666666666667,0.32941176470588235,,
rang_kd,4,tabular,0.0,0.3,0.6773333333333333,0.27533333333333326,3.966666666666667,,,
online_opd,4,tabular,0.0,0.3,1.0,0.92724,3.638,,,
sft,4,linear,0.05,0.3,0.68,0.2811999999999999,3.94,,,
offline_opd,4,linear,0.05,0.3,1.0,0.9339866666666665,3.300666666666667,0.03272066249242577,,
rang_kd,4,linear,0.05,0.3,1.0,0.92724,3.638,,,
online_opd,4,linear,0.05,0.3,1.0,0.92724,3.638,,,
sft,4,tabular,0.05,0.3,0.6773333333333333,0.27533333333333326,3.966666666666667,,,
offline_opd,4,tabular,0.05,0.3,0.706,0.33477333333333326,3.8613333333333335,0.0,,
rang_kd,4,tabular,0.05,0.3,0.678,0.27647999999999995,3.976,,,
online_opd,4,tabular,0.05,0.3,1.0,0.92724,3.638,,,
sft,4,linear,0.15,0.3,0.68,0.2811999999999999,3.94,,,
offline_opd,4,linear,0.15,0.3,0.6813333333333333,0.2839066666666666,3.938,0.18926697138987641,,
rang_kd,4,linear,0.15,0.3,1.0,0.92724,3.638,,,
online_opd,4,linear,0.15,0.3,1.0,0.92724,3.638,,,
sft,4,tabular,0.15,0.3,0.6773333333333333,0.27533333333333326,3.966666666666667,,,
offline_opd,4,tabular,0.15,0.3,0.682,0.2847199999999999,3.964,0.12563067608476286,,
rang_kd,4,tabular,0.15,0.3,0.882,0.6888799999999999,3.756,,,
online_opd,4,tabular,0.15,0.3,1.0,0.92724,3.638,,,
sft,4,linear,0.3,0.3,0.68,0.2811999999999999,3.94,,,
offline_opd,4,linear,0.3,0.3,0.676,0.27275999999999995,3.962,0.02507151270402154,,
rang_kd,4,linear,0.3,0.3,1.0,0.92724,3.638,,,
online_opd,4,linear,0.3,0.3,1.0,0.92724,3.638,,,
sft,4,tabular,0.3,0.3,0.6773333333333333,0.27533333333333326,3.966666666666667,,,
offline_opd,4,tabular,0.3,0.3,0.7753333333333333,0.4714266666666666,3.962,0.11341073531886253,,
rang_kd,4,tabular,0.3,0.3,0.882,0.6888799999999999,3.756,,,
online_opd,4,tabular,0.3,0.3,1.0,0.92724,3.638,,,
